CANNABIS,,,,,,,,,,,,,
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
,,Venezuela (Bolivarian Republic of),0.85,,,,,2005,15-64 ,Government source ,HHS ,"a, e ",
Asia,Central Asia and Transcaucasia,Armenia,3.50,,,,,2003,15-64,UNODC Estimate,,,
,,Azerbaijan,3.50,,,,,2004,15-65,UNODC Estimate,,,
,,Georgia,2.70,1.20,4.30,,,2009,15-64,Government source/ NGO/Academic research,SS,"b, d, e",
,,Georgia,1.10,,,,,2005,15-64 ,ARQ ,SS ,"a, d, e ",
,,Kazakhstan,2.40,0.60,4.30,,,2012,15-64,ARQ,SS,d,
,,Kazakhstan,4.20,,,,,2003,15-64,INCSR,,,
,,Uzbekistan,4.20,,,,,2003,15-64,UNODC Estimate,,e,
,East and South-East Asia,Cambodia,3.50,,,,,2003,15-64,UNODC Estimate,,,
,,"China, Hong Kong SAR",0.40,0.23,1.99,,,2008,15-64,Government source,SS,"d, e",
,,"China, Macao SAR",0.67,,,,,2003,15-64,UNODC Estimate,R,"d, e",
,,Indonesia,0.18,,,0.33,0.04,2015,10-60,ARQ,HHS,,20 of 34 provinces.
,,Indonesia,0.50,,,,,2010,10-60,ARQ,HHS,a,
,,Japan,0.30,,,,,2011,15-64,UNODC Estimate,HHS,e,
,,Lao People's Democratic Republic,0.88,0.69,1.07,,,2008,15-64,UNODC report,SS,"c, d",
,,Malaysia,1.60,,,,,2003,15-64,UNODC Estimate,,,
,,Myanmar,0.94,,,,,2005,15-64,UNODC Estimate,,"d, e",
,,Philippines,0.61,,,,,2012/13,10-69,ARQ,HHS,,17 of 18 regions. Cannabis herb.
,,Philippines,0.74,,,,,2008,10-64,ARQ,HHS,,
,,Republic of Korea,0.29,0.07,0.55,,,2004,15-64,ARQ,HHS,"c, e",
,,Taiwan Province of China,0.30,,,,,2005,12-64,AMCEWG,,,
,,Thailand,1.20,,,,,2007,12-65,ARQ,HHS,,
,Near and Middle East /South-West Asia,Afghanistan,4.28,3.37,5.18,8.10,0.20,2009,15-64,UNODC/ Govt. Source,HHS,,
,,Afghanistan,3.59,,,,,2005,15-64,UNODC Study (ICMP) ,, ,
,,Israel,8.88,,,12.30,5.50,2009,18-40,ARQ,HHS,,
,,Israel,8.50,,,,,2005,18-40 ,ARQ ,,,
,,Kuwait,3.10,,,,,2005,15-64,UNODC Estimate,,,
,,Lebanon,2.00,0.50,3.50,,,2009,15-64,Government source/MEDSPAD,SS,"d, e",
,,Lebanon,6.40,,,,,2001,15-64,ARQ ,,d ,
,,Pakistan,3.60,3.10,4.00,6.70,0.20,2012,15-64,Government/UNODC,HHS/I,,
,,Pakistan,3.90,,,,,2000,15-64,INCSR ,,,
,,Saudi Arabia,0.30,,,,,2006,15-64,Government source/ NGO/Academic research,R,,
,,United Arab Emirates,5.35,,,,,2006,15-64,UNODC Estimate,,,
,South Asia,Bangladesh,3.30,,,,,2004,15-54,Academic research,HHS,"a, e,f",
,,Bhutan,4.20,1.80,6.50,,,2009,15-64,UNODC Estimate,,,
,,Maldives,2.55,,,,,2012,15-64,Government source,,,
,,Sri Lanka,1.43,,,,,2010,15-64,UNODC Estimate,,h,
Europe,Eastern Europe,Belarus,1.07,0.90,1.30,,,2007,15-64,ESPAD/UNODC Estimate,SS,"c, d, e",
,,Republic of Moldova,0.70,,,,,2010,15-64,Government source,HHS,,
,,Republic of Moldova,0.90,,,,,2008,15-64 ,Government source ,HHS ,,
,,Russian Federation,3.49,3.46,3.51,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment
,,Ukraine,2.13,1.29,2.98,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Ukraine,2.90,1.20,4.60,,,2011,15-64,UNODC Estimate,SS,d,
,South-Eastern Europe,Albania,5.60,,,,,2014,15-64,Public health research,HHS,,
,,Albania,1.80,,,,,2006,15-64,Government source,SS,"d, e",
,,Bosnia and Herzegovina,1.60,0.32,2.89,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Bosnia and Herzegovina,2.80,2.75,4.63,,,2007,15-64 ,ESPAD/UNODC Estimate ,SS ,"c, d, e ",
,,Bulgaria,3.50,,,5.10,1.90,2012,15-64,ARQ,HHS,,
,,Bulgaria,2.50,,,,,2008,15-64,ARQ,HHS,,
,,Croatia,7.90,,,11.50,4.30,2015,15-64,ARQ,HHS,,
,,Croatia,5.00,,,,,2012,15-64,EMCDDA,HHS,,
,,Montenegro,1.82,1.10,2.54,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,1.90,0.43,3.30,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Romania,2.00,,,2.30,1.80,2013,15-64,ARQ,HHS,,
,,Romania,0.30,,,,,2010,15-64 ,ARQ,HHS,,
,,Serbia,1.60,,,2.50,0.60,2014,18-64,Government source,HHS,,
,,Serbia,4.07,2.75,5.39,,,2006,15-64,Government source,HHS,"a, d, e",
,,The former Yugoslav Republic of Macedonia,1.13,0.68,1.58,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,The former Yugoslav Republic of Macedonia,0.63,0.46,2.38,,,2008,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Turkey,0.30,,,,,2011,15-64,EMCDDA,HHS,,
,,Turkey,1.90,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,6.40,5.50,7.20,7.20,5.60,2015,15-64,Government source,HHS,,
,,Austria,3.50,,,,,2008,15-64,ARQ,HHS,,
,,Belgium,4.60,,,6.30,2.90,2013,15-64,ARQ,HHS,,
,,Belgium,5.10,,,7.20,3.20,2008,15-64,ARQ,HHS,,
,,Cyprus,2.20,,,3.50,1.00,2012,15-64,ARQ,HHS,,
,,Cyprus,4.40,,,,,2009,15-64,ARQ,HHS,,
,,Czechia,11.40,,,15.40,7.30,2014,15-64 ,ARQ,HHS,,
,,Czechia,8.90,,,13.20,4.50,2013,15-64,ARQ,HHS,,
,,Denmark,6.90,,,9.20,5.10,2013,16-64,ARQ,HHS,,
,,Denmark,5.40,,,,,2010,16-64,ARQ,HHS,,
,,Estonia,6.00,,,,,2008,15-64,ARQ,HHS,,
,,Estonia,4.60,,,,,2003,15-64 ,ARQ ,HHS ,,
,,Finland,6.80,,,9.20,4.30,2014,15-64,ARQ,HHS,,
,,Finland,4.60,,,5.80,3.30,2010,15-64,ARQ,HHS,,
,,France,11.10,,,15.00,7.40,2014,15-64,ARQ,HHS,,
,,France,8.40,,,11.80,5.20,2010,15-64,ARQ,HHS,,
,,Germany,6.10,5.60,6.70,7.40,4.90,2015,18-64,Academic,HHS,,
,,Germany,4.50,,,6.00,3.00,2012,18-64,ARQ,HHS,,
,,Greece,1.70,,,,,2004,15-64,ARQ,,,
,,Greenland,7.60,,,,,2003,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Hungary,1.53,,,2.46,0.81,2015,15-64,ARQ,HHS,,
,,Hungary,2.30,1.70,2.90,,,2007,18-64,ARQ,HHS,,
,,Iceland,6.60,,,,,2012,18-67,ARQ/Government,HHS,,
,,Iceland,3.40,1.67,5.16,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Ireland,6.00,,,9.10,2.90,2011,15-64,ARQ,HHS,,
,,Ireland,6.30,,,,,2007,15-64 ,Government source ,HHS ,,
,,Italy,9.20,,,11.90,6.60,2013-2014,15-64,ARQ,HHS,,
,,Italy,4.00,,,5.19,3.00,2012,15-64,ARQ,HHS,,
,,Latvia,4.20,,,6.90,1.70,2015,15-64,ARQ,HHS,,
,,Latvia,4.00,,,5.70,2.40,2011,15-64,ARQ,HHS,,
,,Lithuania,2.30,,,3.60,1.00,2012,15-64,ARQ,HHS,,
,,Lithuania,5.60,,,,,2008,15-64,ARQ,HHS,,
,,Luxembourg,5.20,3.20,7.10,,,2010,15-64,ARQ,SS,d,
,,Luxembourg,6.60,4.50,8.66,,,2006,15-64,ARQ,SS,d,
,,Malta,0.90,,,,,2013,15-64,ARQ,HHS,,
,,Malta,3.10,1.39,4.82,,,2011,15-64,ESPAD/UNODC Estimate,SS,d,
,,Netherlands,8.00,,,10.50,5.40,2014,15-64,ARQ,HHS,,
,,Netherlands,7.00,,,,,2009,15-64,ARQ,,,
,,Norway,4.20,,,5.50,2.90,2015,16-64,ARQ,HHS,,
,,Norway,4.20,,,6.00,2.30,2014,16-64,ARQ,HHS,,
,,Poland,4.60,,,7.80,1.70,2014/15,15-64,ARQ,HHS,,
,,Poland,3.80,,,6.00,1.70,2012,15-64,ARQ,HHS,,
,,Portugal,2.70,,,4.10,1.30,2012,15-64,ARQ,HHS,,
,,Portugal,3.60,,,,,2007,15-64,ARQ,HHS,,
,,Slovakia,4.30,,,7.00,1.70,2015,15-64,ARQ,HHS,,
,,Slovakia,3.63,,,,,2010,15-64,EMCDDA,HHS,,
,,Slovenia,4.40,,,5.90,2.80,2012,15-64,ARQ,HHS,,
,,Slovenia,3.10,,,,,2007,15-64,EMCDDA,HHS,e,
,,Spain,9.20,,,12.90,5.40,2013,15-64,ARQ,HHS,,
,,Spain,9.60,,,13.60,5.50,2011,15-64,ARQ,HHS,,
,,Sweden,3.20,,,4.10,2.30,2015,16-64,ARQ,HHS,,
,,Sweden,2.88,,,4.10,1.63,2014,15-64,ARQ,HHS,,
,,Switzerland,8.09,,,,,2015,15-64,ARQ,HHS,a,
,,Switzerland,6.70,,,9.30,4.20,2014,15-64,ARQ,HHS,,
,,United Kingdom (England and Wales),6.50,,,9.10,3.80,2015/16,16-59,Government source,HHS,,Crime Survey for England and Wales*
,,United Kingdom (England and Wales),6.70,,,9.50,4.00,2014/15,16-59,ARQ,HHS,,Crime Survey for England and Wales*
,,United Kingdom (Northern Ireland),4.60,,,,,2014/15,15-64,Government source,HHS,,
,,United Kingdom (Northern Ireland),5.10,,,,,2011,15-64,Government source,HHS,,
,,United Kingdom (Scotland),6.29,,,9.00,3.68,2014/15,16-64,Government source ,HHS,,
,,United Kingdom (Scotland),6.50,,,9.50,3.60,2012/13,16-64,Government source,HHS,,
Oceania,Oceania,Australia,10.20,,,12.80,7.60,2013,14+,ARQ,HHS,,
,,Australia,10.30,,,,,2010,14+,ARQ,HHS,,
,,Fiji,5.08,3.04,7.12,,,2004,15-64,Government source,SS,"d, e",
,,New Zealand,11.00,10.30,11.70,14.30,7.90,2013,15+,Government source,HHS,,2012/13 New Zealand Health Survey: Drug Module
,,New Zealand,14.60,13.40,15.70,18.20,11.30,2008,16-64,Government source,HHS,,2007/08 New Zealand Alcohol and Drug Use Survey
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry. 

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants, (non-prescription/non-therapeutic use). 

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,
"COCAINE
(includes cocaine salt, ""crack"" cocaine and other types such as coca paste, cocaine base, basuco, paco and merla)",,,,,,,,,,,,,
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Kenya,0.30,0.20,0.40,,,2007,15-65,Government source,HHS,"b, e",
,North Africa,Algeria,0.01,,,0.02,0.01,2010,12+,ARQ,HHS,,
,,Egypt,0.02,,,,,2006,15-64,Govt;  Academic Research,"HHS, SS","a, d",
,,Morocco,0.05,,,,,2004,15-64,ARQ,,,
,Southern Africa,South Africa,1.02,0.29,1.10,,,2011,15-64,ARQ,SS,"d, e",
,,South Africa,0.78,0.64,1.17,,,2008,15-64 ,ARQ ,HHS ,"a, e ",
,West and Central Africa,Cabo Verde,0.20,,,,,2012,15-64,UNODC/Govt.,HHS, ,
,,Cabo Verde,0.23,,,,,2004,15-64,UNODC Estimate,,"d, e",
,,Nigeria,0.70,0.28,1.11,,,2008,15-64,ARQ,HHS,"a, b, e",
Americas,Caribbean,Barbados,0.40,,,,,2006,15-64,CICAD,HHS,,
,,Bermuda,1.30,1.00,1.60,,,2009,16-65,Government source,HHS,,
,,Dominican Republic,0.30,0.13,0.57,,,2008,15-64,ARQ,SS,"d, e",
,,Haiti,0.88,0.34,1.42,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Haiti,0.90,,,,,2005,15-64,UNODC Estimate,,,
,,Jamaica,0.98,0.39,1.56,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,1.10,,,,,2006,15-64,UNODC Estimate,SS,"a, d",
,,Puerto Rico,0.83,0.34,1.39,,,2005,15-64,Government source,SS,"d, e",
,,Saint Lucia,0.60,0.19,1.02,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Saint Lucia,1.00,,,,,2002,15-64,UNODC Estimate,,,
,,Trinidad and Tobago,0.48,0.11,0.84,,,2010,15-64,UNODC Estimate,SS,"d, e",
,Central America,Belize,0.85,,,,,2005,12-65,CICAD,HHS,,
,,Costa Rica,1.06,,,1.73,0.38,2010,15-64,ARQ,HHS,,cocaine and crack
,,Costa Rica,0.31,0.23,0.38,,,2006,12-70,ARQ ,HHS ,,
,,El Salvador,0.47,,,0.92,0.14,2014,12-65,ARQ,HHS,,cocaine and crack
,,El Salvador,0.41,,,,,2005,12-65,ARQ,HHS,,
,,Guatemala,0.21,,,,,2005,15-64,ARQ,HHS,,
,,Honduras,0.87,,,,,2005,12-35,ARQ,,,
,,Nicaragua,0.69,0.52,0.86,,,2006,12-65,UNODC Estimate,HHS,c,
,,Panama,0.10,,,,,2015,12-65,ARQ,HHS,,Urban areas
,,Panama,1.20,,,,,2003,12-65,Government source,HHS,,
,North America,Canada,1.46,,,1.79,1.13,2015,15-64,ARQ,HHS,,
,,Canada,1.10,,,1.60,0.60,2013,15-64,ARQ,HHS,,
,,Mexico,0.50,,,0.90,0.10,2011,12-65,ARQ,HHS,,Includes crack
,,Mexico,0.40,,,,,2008,12-65,Government source,HHS,,
,,United States of America,2.30,,,3.00,1.60,2015,15-64,ARQ,HHS,,
,,United States of America,2.10,,,2.90,1.50,2014,15-64,ARQ,HHS,,cocaine only
,South America,Argentina,0.73,,,1.26,0.11,2011,16-65,ARQ,HHS,,Does not include crack
,,Argentina,1.00,,,,,2008,12-65,Government Source ,HHS ,,Does not include crack
,,Bolivia (Plurinational State of),0.36,,,0.46,0.27,2013,12-65,ARQ,HHS,,cocaine and pasta base
,,Bolivia (Plurinational State of),0.60,,,0.60,0.50,2007,12-65,ARQ,HHS,,
,,Brazil,1.00,0.80,1.10,,,2016,15-64,Government Source,HHS,,Cocaine powder and crack
,,Brazil,0.70,,,,,2005,12-65,Government source ,HHS,c,
,,Chile,1.73,,,2.85,0.65,2014,15-64,ARQ,HHS,,"cocaine, crack and pasta base"
,,Chile,1.21,,,1.92,0.51,2012,15-64,ARQ,HHS,,
,,Colombia,0.70,0.55,0.84,1.23,0.20,2013,12-65,ARQ,HHS,,cocaine only
,,Colombia,0.72,0.53,0.90,1.28,0.22,2008,12-65,ARQ,HHS,,
,,Ecuador,0.08,,,0.10,0.07,2013,12 - 64,Encuesta Nacional Sobre el uso de drogas en poblacion General ,HHS,,cocaine only
,,Ecuador,0.20,0.14,0.25,,,2007,12-65,ARQ,HHS,,
,,Paraguay,0.25,0.20,0.30,,,2003,12-64,UNODC Estimate,HHS,,
,,Peru,0.70,,,,,2010,12-65,Government source,HHS,,"cocaine, crack and pasta base"
,,Peru,0.48,0.34,0.61,,,2006,15-64 ,ARQ ,HHS ,,
,,Suriname,0.30,,,,,2007,12-65,Government source,HHS,,
,,Suriname,0.50,,,,,2002,15-64 ,UNODC Estimate ,,d ,
,,Uruguay,1.80,,,2.60,1.00,2014,15-65,ARQ,HHS,,Cocaine salt and pasta base
,,Uruguay,2.10,,,3.40,0.90,2011,15-65,ARQ,HHS,,Cocaine salt and pasta base
,,Venezuela (Bolivarian Republic of),0.64,,,,,2011,12-65,ARQ,HHS,,"cocaine, crack and basuco"
,,Venezuela (Bolivarian Republic of),0.63,,,,,2005,15-64 ,Government source ,HHS ,,
Asia,Central Asia and Transcaucasia,Armenia,0.10,,,,,2005,15-64,UNODC Estimate,HHS,,
,East and South-East Asia,"China, Hong Kong SAR",0.25,0.20,0.30,,,2008,15-64,Government source,SS,"d, e",
,,Indonesia,0.00,,,0.00,0.00,2015,10-60,ARQ,HHS,,20 of 34 provinces.
,,Indonesia,0.01,,,,,2010,10-60,ARQ,HHS,,
,,Philippines,0.04,,,,,2012/13,10-69,ARQ,HHS,,17 of 18 regions.
,,Philippines,0.03,,,,,2005,15-64,UNODC Estimate,HHS,,
,,Republic of Korea,0.03,,,,,2004,15-64,ARQ,HHS,"e, f",
,,Taiwan Province of China,0.10,,,,,2005,15-64,AMCEWG,,,
,,Thailand,0.05,,,,,2007,15-64,ARQ,HHS,e,
,Near and Middle East /South-West Asia,Afghanistan,0.00,,,,,2009,15-64,UNODC/ Govt. Source,HHS,,
,,Iran (Islamic Republic of),0.01,0.00,0.01,,,2008,15-64,Government source,I,"f, g",
,,Israel,1.07,0.94,1.19,1.64,0.42,2009,18-40,ARQ,,,
,,Kuwait,0.04,,,,,2005,15-64,UNODC Estimate,,g,
,,Pakistan,0.01,0.00,0.02,0.01,0.00,2012,15-64,Government/UNODC,,,
,,Syrian Arab Republic,0.00,,,,,2005,15-64,UNODC Estimate,,g,
,South Asia,Maldives,0.04,,,,,2012,15-64,Government source,HHS,,
Europe,Eastern Europe,Belarus,0.06,0.01,0.12,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Republic of Moldova,0.04,0.02,0.06,,,2008,15-64,Government sources,HHS,e,
,,Russian Federation,0.23,0.16,0.29,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment
,,Ukraine,0.32,0.01,0.62,,,2015,15-64,ESPAD/UNODC Estimate,,"d, e",
,,Ukraine,0.52,0.17,0.86,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,South-Eastern Europe,Albania,2.50,,,,,2014,15-64,Public health research,HHS,,
,,Albania,0.78,0.01,1.62,,,2006,15-64,Government sources,SS,"d, e",
,,Bosnia and Herzegovina,0.63,0.01,1.92,,,2008,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Bulgaria,0.20,,,0.20,0.10,2012,15-64,ARQ,HHS,,
,,Bulgaria,0.60,,,,,2007,15-64,ARQ,HHS,,
,,Croatia,0.80,,,1.20,0.40,2015,15-64,ARQ,HHS,,Cocaine salt
,,Croatia,0.50,,,,,2012,15-64,EMCDDA,HHS,,
,,Montenegro,0.62,0.18,1.06,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,0.52,0.17,0.86,,,2011,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Romania,0.20,,,0.20,0.20,2013,15-64,ARQ,HHS,,
,,Romania,0.10,,,,,2010,15-64 ,ARQ,HHS,,
,,Serbia,0.10,,,0.20,0.00,2014,18-64,Government source,HHS,,
,,Serbia,0.54,0.14,1.18,,,2008,15-64,Government sources,HHS,"a, d, e",
,,The former Yugoslav Republic of Macedonia,0.34,0.03,0.65,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,The former Yugoslav Republic of Macedonia,0.08,,,,,2007,15-64,INCSR,,,
,,Turkey,0.04,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,0.40,0.20,0.60,0.40,0.30,2015,15-64,Government source,HHS,,Including crack
,,Austria,0.90,,,,,2008,15-64,ARQ,HHS,,
,,Belgium,0.50,,,0.70,0.30,2013,15-64,ARQ,HHS,,
,,Belgium,0.90,,,1.30,0.50,2008,15-64,ARQ,HHS,,
,,Cyprus,0.30,,,0.40,0.20,2012,15-64,ARQ,HHS,,
,,Cyprus,1.20,,,,,2009,15-64,ARQ,HHS,,
,,Czechia,0.20,,,0.50,0.00,2014,15-64 ,ARQ,HHS,,Cocaine salt
,,Czechia,0.10,,,0.20,0.00,2013,15-64,ARQ,HHS,,cocaine only
,,Denmark,0.90,,,1.50,0.50,2013,16-64,ARQ,HHS,,
,,Denmark,0.90,,,,,2010,16-64,ARQ,HHS,,
,,Estonia,0.60,,,,,2008,15-64,ARQ,HHS,,
,,Estonia,0.60,,,,,2003,15-64 ,ARQ ,HHS ,,
